Name,Position,School,Report
C.J. Henderson,CB,Florida ,"Henderson is an extremely explosive and athletic cornerback prospect out of Florida. He played outside and inside on the games I studied. He is very physical in press coverage, landing a two-hand jam consistently. He is extremely loose and fluid to open up and mirror all over the field. He is rarely out of position and possesses rare makeup speed when he is caught in a bind. You see that same burst when he's in off coverage and the ball is thrown in front. He does need to improve on finding the ball down the field, as he's often a little late to look back. The major concern with this player is tackling. He has way too many misses and that must be improved. Overall, Henderson has some elite traits and could emerge as the top cornerback in this class, but his tackling must be addressed."
K'Lavon Chaisson,Edge,LSU ,"Chaisson primarily lined up as a stand-up rusher in the Tigers' defensive system. He is long, explosive and very athletic. As a pass rusher, he relies more on pure get-off speed and athletic ability than technical skill. He is at his best as a looper, where he can find a crease and explode through. He has yet to figure out how to use his length to his advantage on a consistent basis. Against the run, he flashes the ability to stack and hold the point, but he's at his best slipping blocks and creating havoc. His speed and effort show up on the back side of plays. Overall, Chaisson is more athlete than football player right now, but he has all of the raw tools to be a dominant force at the next level."
Austin Jackson,OT,USC ,"Jackson brings an intriguing blend of size, athleticism and upside. In the passing game, he has the quickness to easily cut off speed rushers and he plays with good knee bend and balance. He needs to improve on his punch, as he's often late to shoot his hands and gives up his chest, leaving him vulnerable to the bull rush. He flashes the ability to settle down after giving ground, but this needs to improve. In the run game, he has the quickness to reach/cut off on the back side and he does a good job of staying attached on the front side. His overall play strength needs to improve, but he's only 20 years old and that should come in time. Overall, Jackson isn't ready to play at a high level right away, but the upside is tantalizing."
Jaylon Johnson,CB,Utah ,"Johnson offers an enticing size/speed combination for the position. He plays a lot of press-bail technique, but also flashes a firm two-hand jam. He is very fluid to open up and has plenty of long speed to carry vertical routes. He also excels when he slides inside to cover the slot. He was rarely challenged down the field in the games I studied. His ball production was outstanding in 2018 and opposing teams chose to avoid him this fall. He is very aggressive versus the run. He closes quickly before coming to balance and delivering firm tackles. Overall, Johnson is very talented and should be a Day 1 starter outside with the potential to cover in the slot, as well."
Kenneth Murray,LB,Oklahoma ,"Murray is an off-the-ball, run-and-hit linebacker. He is at his best when he's free to chase and make plays to the perimeter. He closes in a heartbeat and he is an explosive tackler. He struggles when he has to play off blocks and locate the football through the trash inside, as he doesn't uses his hands and gets swallowed up. He has had some success dipping and slipping blocks. He is very athletic in coverage versus running backs, easily mirroring them in space. He is also a very dynamic blitzer. Overall, I believe Murray would be best served to play outside and off the ball, where he would be afforded clean sight lines to attack with his speed."
Tee Higgins,WR,Clemson ,"Higgins is a tall, long and rangy wideout with elite high-point skills. He uses a quick foot fire to defeat press coverage. He is a smooth, long-striding route runner. He is at his best when on the move: slants, posts and go routes. He lacks snap at the top of his route when working back downhill. He has incredible ball skills down the field. He can elevate and also adjust to the back-shoulder ball. After the catch, he is very smooth and slippery. Overall, Higgins isn't going to do a lot of the dirty work in the middle of the field, but he's very effective on the outside and provides big-play ability."
Grant Delpit,S,LSU ,"Delpit is a tall, fast free safety who also possesses the ability to play in the slot. From the deep middle, he trusts his eyes and explodes to the ball, whether run or pass. He has outstanding range and I trust his ball skills. His numbers dropped this past season, but that was the result of some nagging injuries. He is fluid and smooth when lined up in the slot. He is aggressive as a force defender, but he has too many fly-by missed tackles. Everyone at the school raves about his leadership and intangibles. Overall, Delpit needs to clean up some tackling issues, but he has"
Clyde Edwards-Helaire,RB,LSU ,"Edwards-Helaire is a short, compact runner with quick feet, power and prowess in the passing game. On inside runs, he's a quick-stepper with darting lateral agility to slide and avoid contact. He runs extremely low to the ground and is tough for opponents to square up. He drives his legs on contact and pulls out of a lot of tackles. He is quick to capture the perimeter and refuses to run out of bounds, choosing instead to fight for extra yards. He is outstanding in the passing game. He can line up anywhere in the formation and he runs clean/crisp routes. He catches the ball outside his frame very smoothly and he's outstanding after the catch. His ability to start/stop in space is elite. He is rarely used in pass protection because of his value out in the route. Overall, Edwards-Helaire has a very similar skill set to"
Marlon Davidson,Edge,Auburn ,"Davidson has average height and a thick/square build. He typically lined up at defensive end for the Tigers, but also possesses the ability to slide inside. As a pass rusher, he is devastating when he has a runway. He generates a lot of power in his bull rush and has an array of hand moves he can incorporate on the move. He doesn't have an elite get-off, but he wins in the ways just mentioned. He destroys tight ends with his strength and power combination. Against the run, he uses his length to stack blocks, and his effort to pursue is outstanding. Overall, Davidson has some inside/outside flexibility and his production should carry over to the next level."
J.K. Dobbins,RB,Ohio State ,"Dobbins is a compact running back with tremendous power, balance and instincts. He is at his best on inside runs. He doesn't hesitate, accelerating into contact and breaking a ton of tackles. He has a nifty inside spin move and can make second- and third-level defenders miss in space. He has enough speed to get to the perimeter, but he always looks to turn upfield as soon as possible. In the passing attack, he is effective in the screen game, but he has more work to do as a route runner. He had two tough drops vs. Clemson in the College Football Playoff, but he was reliable in every other game I studied. He is very aware in pass protection -- he can drop his weight and anchor linebackers. Overall, Dobbins' game should translate very well to the next level. He'll be a dependable starter immediately."
A.J. Terrell,CB,Clemson ,"Terrell is a tall, slender cornerback prospect with a strong resume in a variety of coverages and techniques. In press coverage, he uses an effective one-hand jam before turning and opening up. He can carry vertical routes with his speed, but he is a little bit sticky when he's forced to gear down and come back downhill. In off coverage, he has a quick pedal, but there is a brief pause in his plant/drive. He has very good ball awareness down the field. He is a reliable tackler and an outstanding blitzer from the boundary corner spot. He had a rough outing against LSU in the national title game, but was otherwise very steady this fall. Overall, Terrell has some tightness, but he's a very solid player who should emerge as a quality No. 2 cornerback for his drafting team."
Damon Arnette,CB,Ohio State ,"Arnette is an aggressive cornerback prospect with a good combination of size, speed and ball skills. He is very physical in press coverage and has plenty of speed to stay on the hip versus vertical routes. He displays some rigidity when he has to flip his hips and open up underneath. He is very twitchy when he plants and drives on the ball from off coverage. He doesn't have any issues locating and playing the football. He is very anxious to get involved in the run game and has a high batting average as a tackler. Overall, Arnette has some stiffness, but he's capable of playing at a high level in man or zone schemes."
Cesar Ruiz,C,Michigan ,"Ruiz is an extremely consistent, physical and aware center. In pass protection, he has a tight punch and immediate anchor. His lower body is outrageously strong. He is very aware vs. twists/stunts. He lacks elite foot quickness, but he doesn't have any issues sliding and redirecting to stay square vs. defenders. In the run game, he latches and runs his feet to create movement. He is outstanding on combo blocks, staying under control, locating and walling off linebackers. His lack of foot quickness shows up on outside pulls. Overall, Ruiz reminds me of"
Yetur Gross-Matos,Edge,Penn State ,"Gross-Matos is a tall, long edge rusher for the Nittany Lions. He will stand up on the edge or launch out of his 4-point stance. He is a very productive pass rusher. He doesn't have an elite get-off, but he has very active hands and an array of moves. He has a quick swipe move, inside spin and he can also bend/wrap at the top of his rush. I'd like to see him develop more power, but he still has a lot to work with. He is very effective on loops and games. He does need to improve versus the run. as he sometimes plays too high and gets uprooted. Overall, Gross-Matos offers double-digit sack potential but he does need to add strength at the next level."
Jonathan Taylor,RB,Wisconsin ,"Taylor is an ultra-productive running back with outstanding strength and speed. On inside runs, he's sudden, carries his pads low to the ground and shows the balance to bounce off tacklers while keeping his legs alive. He isn't overly shifty, but he avoids taking flush hits and he always falls forward for extra yardage. He has plenty of speed to capture the edge and once he gets in space, he can run away from the crowd. In the passing game, he is very effective on screens, where he can set up his blocks and collect big chunks of yardage. He trusts his hands and attacks the ball when he's out in the route. He didn't have a lot of reps in pass protection in the games I studied. Overall, Taylor is an explosive home run hitter with upside in the passing game."
Joshua Jones,OT,Houston ,"Jones lines up at left tackle for the Cougars. He has the ideal frame and length for the position. In pass pro, he is very smooth and efficient in his set. He isn't overly explosive but he has enough foot quicks to kick out and cover up speed rushes. He has a firm punch and he does a nice job replacing his hands when they get knocked down. He does play a little high and that impacts his ability to redirect versus up-and-under moves. In the run game, he can create movement on down blocks and he is effective at the second level. He shows awareness against both run and pass. Overall, Jones has some games where he looks like a top-15 player (see Oklahoma), but he needs to play with better knee bend on a consistent basis. He should be a solid, dependable starter early in his career."
Neville Gallimore,DT,Oklahoma ,"Gallimore is an extremely twitched up and explosive defensive tackle. As a pass rusher, he explodes off the ball and has strong, ferocious hands. He loves to use his club/swim move and it's very effective. Even when he doesn't get home as a rusher, he collapses the pocket with his raw power. Against the run, he flashes the ability to stack/toss blocks but he also possesses the quickness to shoot gaps and disrupt in the backfield. The biggest area he needs to improve is his finish. He's always around the ball, but the production doesn't match his talent. Overall, Gallimore is going to be a better pro than college player. His arrow is pointed up."
Cole Kmet,TE,Notre Dame ,"Kmet has an ideal frame for the TE position. He lines up inline and flexed out in Notre Dame's offense. In the passing game, he has good speed and does a lot of damage working in the seams. He uses his big frame to wall off defenders and pluck the ball in traffic (see Georgia game). He isn't very polished or nuanced at the top of his route. He is at his best when he stays on the move instead of working back to the quarterback. He is physical after the catch, but he doesn't provide much wiggle or elusiveness. In the run game, he can effectively shield and wall off at the point of attack, and he takes good angles working up to the second level. Kmet has been the closer on the Notre Dame baseball team and should make major strides now that he's solely focused on football. Overall, Kmet isn't a dynamic player but he's going to get stronger, and I see him as a reliable, long-term starter at the position."
Kyle Dugger,S,Lenior-Rhyne ,"Bears' scheme -- deep half, deep middle, in the box and over the slot. He is at his best closer to the line of scrimmage. He is quick to key/sort/fill, and he delivers some huge shots on tape. When he is coming from distance, he can get out of control and that leads to some fly-by missed tackles. He has outstanding lateral range and good ball skills. He is also an outstanding returner. Some teams will view him as a WLB while others will see him as a strong safety. I think he would be a quality starter at either position and he'll have an immediate impact on special team."
Kristian Fulton,CB,LSU ,"Fulton has good size for the position and he's very fluid, smart and competitive. In press coverage, he switches up his technique. He's primarily patient, but he'll occasionally land a quick two-hand jam. He lacks elite top speed and he's had some issues timing his leap on jump balls down the field. From off coverage, he's very aware and shows some pop out of his plant/drive. He is very aggressive in run support. He fights through blocks and is very reliable in space. Overall, Fulton has some flaws, but I'll bet on his intangibles and toughness."
Trevon Diggs,CB,Alabama ,"Diggs has elite size, athleticism and ball skills. (He also played wide receiver and returned kicks during his career at Alabama.) He uses an effective one-hand jam in press before opening up and staying on the hip. He's fluid for such a big cornerback. It's important for him to stay in phase with the wideout because he lacks elite recovery speed. From off coverage, he reads through the wide receiver to the quarterback and has a good feel for jumping routes and making plays. His ball skills are outstanding -- as you'd expect, considering his brother is"
K.J. Hamler,WR,Penn State ,"Hamler is an undersized wideout with rare explosiveness. He lines up out wide, in the slot and even takes some reps in the backfield. He is extremely sudden in his release, destroying the cornerback's cushion in a hurry. He excels on slants, shallow crossers and vertical routes. He simply runs right by everyone on the field. Despite his limited size/frame, he's very effective working in traffic. He can extend, pluck and finish before absorbing contact. He is a blur after the catch. Overall, size is the only negative in this evaluation. In a league starved for speedy playmakers, Hamler should be in high demand."
Zack Baun,LB,Wisconsin ,"Baun is a slightly undersized outside linebacker with excellent athleticism and versatility. He spends a lot of time playing over tight ends and gets the best of them in the run and pass games. As a rusher, he has a good initial burst and can really bend at the top of his rush. He has a nifty inside counter move and he can get skinny before closing on the quarterback. He mixes in a stutter/bull rush, but usually stalls out after generating some push. He is very athletic as a dropper in coverage. He is very good as a back-side run defender because of his burst and effort. Teams will differ on where to play him at the next level. He reminds me of former USC LB"
Bradlee Anae,Edge,Utah ,"Anae lined up at defensive end for the Utes. As a pass rusher, he doesn't possess a dynamic first step, but he anticipates the snap count and shows the ability to win early in the down. He is very good at the top of his rush because of his hand usage and ability to flatten back to the quarterback. He also understands when a tackle sets too hard to the outside, which opens up his inside counter move. His motor is outstanding. Against the run, he can hold the point of attack routinely, but he struggles when isolated in space versus athletic backs and quarterbacks. Overall, Annae isn't an ultra-twichy athlete but he's a very productive player."
Justin Madubuike,DT,Texas A&M ,"Madubuike is a strong, versatile defensive lineman. He aligns at every spot along the defensive front, but he's best suited as a 3 technique, on the edge of the guard. Against the pass, he is very quick to shoot his hands and generate knock-back. He has a quick club/rip move and is very adept at working through half the opponent instead of rushing down their numbers. His effort is outstanding. He is a dominant run defender. He excels at stacking blockers, separating and locating the football. Overall, Madubuike isn't an elite pass rusher, but he's impactful and can dominate on early downs."
Jake Fromm,QB,Georgia ,"Fromm is a tough player to evaluate. He doesn't have any wow physical traits, but he's produced a lot of wins because of his poise, toughness and intelligence. He is a rhythm and timing passer who's at his best when he hits his back foot and gets the ball out early. He has very good pocket awareness and he will hang in until the last second to deliver the ball. He doesn't generate a lot of RPMs, but he throws a very catchable ball. I believe he has the potential to add velocity once he taps into his lower body more consistently. Overall, Fromm won't fit in every scheme, but he has starter potential in the right situation."
