Name,Position,School,Report
JC Latham,OT,Alabama,"Latham is a massive right tackle. He has an enormous power base and taps into it in both the run and pass games. In pass pro, he has average quickness, but plays with good knee bend and a flat back. He can anchor power rushers immediately. He has vise grips for hands; once he gets attached to defenders, the pass rush is over. When caught out of position, he flashes the ability to recover, torque and dump opponents. His awareness versus stunts and blitzers has been inconsistent. He gets surprised too often, leading to penetration and pressures. In the run game, he is a mauler. He latches on, runs his feet and dumps defenders. He is very good on combo blocks. Overall, Latham doesn't have ideal foot quickness or awareness, but his size and physicality are very tantalizing."
Byron Murphy II,DT,Texas,"Murphy is a very explosive, nimble and instinctive defensive tackle. He is a dynamic disruptor against the pass game. He explodes out of his stance and can roll his hips on contact, creating instant push. He consistently gets underneath blockers and prevails in the leverage battle. He has quick hands to win with swipe moves, a push/pull maneuver or a violent club. Once he feels a blocker leaning left or right, he has elite change-of-direction quickness. Against the run, he can utilize his quickness to penetrate and create negative plays. He also has incredible balance to take on blocks while going to one knee before uncoiling and making plays. (I haven't seen anyone else use this technique before, but it's very effective.) He has plenty of range to make plays laterally. Overall, Murphy might lack ideal size, but he's a leverage machine who makes an impact on all three downs."
J.J. McCarthy,QB,Michigan,"McCarthy is a lean, athletic quarterback with a live/loose arm. He is very consistent because of his ability to always throw from a firm base, with his feet and eyes connected. He is selectively aggressive as a passer. He has the combination of velocity and accuracy to fit balls into tight windows, but he is also very comfortable taking checkdowns and piling up completions. He is very efficient. He shows the touch to take speed off the ball underneath and provide optimal run-after-catch ball location. The only throws that gave him some trouble were over-the-top outside shots, as he let too many of those leak and end up out of bounds. He is a very explosive straight-line runner. Overall, other quarterbacks in this class have more volume in the passing game, but itâs hard to argue with McCarthy's results. I see some similarities to Alex Smith coming out of college."
Chop Robinson,Edge,Penn State,"Robinson is an extremely twitched-up edge rusher with limited production. He has average size but is incredibly explosive. As a pass rusher, he has excellent get-off quickness, but it looks odd because of his short/choppy steps. He will cause more stress for OTs when he learns how to lengthen his stride and gain ground. He flashes a nifty two-hand swipe maneuver and a push/pull move. He has some tightness that shows up when he gets to the top of his rush. His sack production is limited, but he was very disruptive in every game I studied. He was asked to drop into coverage on occasion and looked comfortable in space. Against the run, he consistently generates knock-back versus head-up blockers, but he struggles versus angle blocks and double teams. He gets washed down the line too often. Overall, Robinson isn't a smooth/bendy type of player, but his mix of speed and power provides a lot of disruption."
Graham Barton,IOL,Duke,"Barton started at left tackle during his final three seasons at Duke. Prior to that, he started five games at center, and thatâs where I see him playing at the next level. He has ideal size for the position and average length. In pass protection, he is quick out of his stance, plays with knee bend and has the agility to redirect. He does struggle against power rushers. He doesnât play long-armed, exposes his chest and gives ground. Fortunately, he loses slowly on most occasions, allowing the quarterback time to get the ball out. He is a technician in the run game. He always hits his landmarks with his hands on down blocks before sinking and driving with his lower half. He is excellent on combo blocks and heâs under control as a puller. Overall, I see Barton as an athletic center with the ability to survive at tackle if needed."
Amarius Mims,OT,Georgia,"Mims is an enormous right tackle prospect with long arms. He has very limited starting experience (eight total starts in three years at Georgia), partially due to injury. While the rÃ©sumÃ© is light, the skill set is impressive. In pass pro, he plays with a firm, wide base and uses his length to control defenders. He stays square and patient. When he does throw his punch, it jolts defenders, making them take a second to recover. He can sink his weight against power rushers and doesn't give up ground. He plays with good awareness. In the run game, he can latch, run his feet and finish. He struggles in space on occasion because he's out of control. To see him at his best, watch the College Football Playoff game against Ohio State in the 2022 season, when he was healthy and dominant. He battled through an injury during the 2023 season. Overall, there is risk because of the limited body of work, but Mims is a unique talent."
Cooper DeJean,CB,Iowa,"DeJean is a playmaking cornerback with size and speed. In off coverage, he plays with his butt to the sideline and displays excellent vision. He does have a brief pause in his plant/drive before exploding and attacking the football. His production -- including three pick-sixes in the 2022 season -- speaks for itself. He has enough speed to carry vertical routes, but he will panic on occasion and get grabby at the catch point. He's an outstanding blitzer, displaying timing and burst to close in a hurry. He is very willing in run support, and he's a dependable tackler. He is also an exceptional punt returner because of his combination of speed, elusiveness and bravery. Overall, I believe DeJean could stick at cornerback, but I wouldn't rule out a move to safety, where his strengths as a player would be featured. He reminds me of a bigger Eric Weddle coming out of college."
Jer'Zhan Newton,DT,Illinois,"Newton is a slightly undersized defensive tackle with quick and powerful hands. As a pass rusher, he has shock in his mitts to jolt blockers. He mixes up his moves to generate sacks/pressures, routinely employing a violent club/swim and a quick-swipe maneuver. He also incorporates a Houdini-like move where he sticks his hand out and gets OTs to lunge at it before pulling it away and clearing the block. He isn't a loose, nimble rusher due to some hip tightness. Against the run, he generates knock-back at the point of attack and gives effort to chase plays down the line. Overall, Newton lacks ideal lower-body flexibility, but he's a very skilled rusher and holds up versus the run."
Tyler Guyton,OT,Oklahoma,"Guyton is a tall, long and rangy right tackle. He doesn't have a ton of starting experience (15 total starts over four years at Oklahoma and TCU), but he is very gifted. In pass pro, he explodes out of his stance and has the range to cover up speed rushers. He is very fluid and smooth in his redirect versus counter rushers. He plays with excellent knee bend. His problems arise versus power rushers, where he can look a little flimsy up top and get tugged/pulled. He has very good awareness for someone with limited reps. In the run game, he moves like a tight end. He can reach and cut off easily, excelling in space. He is exceptional as a puller because of his athleticism and balance on the perimeter. He does a great job staying off the ground. Overall, Guyton is still a work in progress, but he has elite traits and tools."
Adonai Mitchell,WR,Texas,"Mitchell has outstanding size, toughness and polish for the position. He is fast and has a long stride. He has surprisingly good route polish for a bigger receiver. He understands how to change tempo, and he's clean getting in and out of breaks. He gave Kool-Aid McKinstry a lot of trouble in the Alabama game last September, finishing with three catches for 78 yards and two TDs. He has some wow catches on fades and 50/50 balls. He can climb the ladder, hang and finish (SEE: his TD grab against Washington in the College Football Playoff). It looks like he gets a little lazy at times on the back side of routes, assuming the ball is going elsewhere. He doesn't have a ton of production after the catch. Overall, though, Mitchell is an ideal X receiver. He can make plays when covered, and he's a real weapon in the red zone."
Kool-Aid McKinstry,CB,Alabama,"McKinstry is a smooth, athletic cornerback with average play speed. In press coverage, he carries his hands low and prefers to play under control rather than attack. He doesn't have any tightness when opening up. There are some concerns with his deep speed when he's challenged vertically. From off coverage, everything he does is smooth, but he lacks twitch and urgency. He does find and play the ball well, both in front of him and down the field. He isn't ultra aggressive when it comes to getting involved in the run game, but he's a reliable tackler in space. Overall, Kool-Aid has a lot of redeeming qualities. Heâs not the fastest cornerback, but he showed enough speed at his pro day to help his stock heading into the draft."
Edgerrin Cooper,LB,Texas A&M,"Cooper is a long, rangy linebacker with excellent speed and coverage ability. Against the pass, he is very smooth in his drops, playing with vision and awareness. He is very comfortable in man coverage and has plenty of speed to carry tight ends up the seam. He is an explosive blitzer and has shown the ability to separate the quarterback from the ball. Against the run, he is quick to fill in the hole and displays stopping power as a tackler. He will have some fly-by missed tackles when in lateral pursuit. Overall, Cooper is an instinctive and explosive prospect who generates a bunch of splash plays. He's ready to start right away, and I believe his best football is still ahead of him."
Ladd McConkey,WR,Georgia,"McConkey is a slightly undersized receiver with excellent speed, quickness and polish. He lines up both outside and in the slot. He is quick off the line, and he understands how to attack the leverage of his man. He changes speed throughout the route and is efficient getting into and out of breaks. He will utilize head nods to sell routes and create separation. He has an excellent feel to settle in space versus zone coverage. He has strong hands to pluck balls thrown away from his frame, and he is quick to transition up the field. After the catch, he relies on his quickness to make defenders miss. Overall, McConkey isn't quite as physical as former Seahawks receiver Doug Baldwin, but I see a lot of similarities in their route running and instincts. I could see McConkey having a similar career."
Xavier Worthy,WR,Texas,"Worthy has average height and a very lean frame. The 40-yard dash king is extremely twitchy and can take the top off the defense. He plays inside and outside. He was used in a variety of ways at Texas, but he is at his best on double moves, shot plays and pure takeoffs. He is dynamic off the line and can tap into a second and third gear down the field. He also is crispy out of the break when asked to work back downhill. His hands have been spotty over his career, but he was much more reliable this past fall than he had been before. After the catch, he has a jet pack on his back. He explodes away from defenders and racks up big plays. Overall, Worthy seems like a taller version of Hollywood Brown -- you can feel his speed in every game."
Ennis Rakestraw Jr.,CB,Missouri,"Rakestraw is a rangy, fluid cornerback who plays with energy and toughness. He is physical in press coverage, and he stays attached underneath and vertically. He is a loose athlete who can flip his hips smoothly. He does a nice job staying on top of deep routes, and he can locate the ball. I'd like to see him do a better job of finishing with the ball instead of simply poking it away. He is awesome against the run; not only is he quick to key/read, but he attacks blockers, including offensive linemen. Watch the Georgia tape from this past November to see him thud off an offensive tackle before delivering a physical stop. He is always bouncing around; his energy is palpable through the screen. Overall, players with this profile at this position traditionally translate very well to the next level."
Bo Nix,QB,Oregon,"Nix is an experienced quarterback (61 starts at Oregon and Auburn) with outstanding accuracy and toughness. He has average height and a thick/sturdy frame. He is at his best in the quick-rhythm passing game. He has quick feet in his setup, scans the field with urgency and accurately delivers the ball. He has a compact release and generates velocity to drive the ball to all three levels. He shows touch to layer the ball over linebackers and under safeties. He is accurate on designed rollouts. He does need to improve habits under duress, though, as he occasionally fails to feel back-side run-throughs and also falls off some throws when faced with interior pressure. Heâs an urgent athlete and is effective as a runner, especially on zone reads. His coaches rave about his leadership and toughness. Overall, Nixâs combination of competitiveness, intelligence and experience reminds me of Jalen Hurts coming out of college."
Jackson Powers-Johnson,IOL,Oregon,"Powers-Johnson has experience at all three interior offensive line spots and has spent time at defensive tackle, as well. He was outstanding at the center position in 2023, and thatâs where I expect him to play at the next level. He has good size, exceptional quickness and steady balance. In pass pro, he sets vertically and is able to catch and absorb versus power rushers. He does an excellent job reworking his hands to maintain position and is a nasty helper when uncovered. In the run game, he uses his upper-body power to torque/turn defenders, generating a lot of movement at the point of attack. He is quick working up to the second level and takes good angles. Overall, there arenât many holes in his game. I love his bulldog playing style."
Michael Penix Jr.,QB,Washington,"Penix has exceptional arm strength and toughness. He has a unique, whippy, three-quarters delivery from the left side, and the ball explodes out of his hand. He can hang on his back foot and effortlessly drive the ball 55 yards. He excels driving throws outside and tosses a beautiful, lofting deep ball. He does have issues getting throws up and down in the middle of the field. His ball can stay flat. He is quick to process and consistently gets to No. 3 in the route progression. He flashed the ability to avoid, escape and create against Texas in the College Football Playoff. Heâs been through a litany of injuries during his career, but he managed to overcome them and led Washington to the national title game. Overall, durability is a legitimate concern, but I believe in his combination of vision, accuracy and arm strength."
Nate Wiggins,CB,Clemson,"Wiggins is a tall, thin and long cornerback with outstanding speed. He is effective in press coverage. He gets his hands on receivers, but he'll need to let go earlier at the next level. He is a fluid mover and has plenty of deep speed. He can locate and play the ball down the field. He will have concentration lapses at times, trying to peek back at the QB, which makes him lose position. From off coverage, he is efficient in his transition, and he closes in a hurry. I was a little disappointed in his lack of aggression against the run. He is content to hang on blocks at times, and his effort to chase from the back side is spotty, at best. Some of this could be due to high play counts, but it's still bothersome. Overall, Wiggins is dripping with athleticism and physical traits, but he needs to be more invested in the run game."
Zach Frazier,IOL,West Virginia,"Frazier is a very physical center with average size and length. In the pass game, he is quick out of his stance, plays with a wide, firm base and immediately anchors. He has the lateral quickness to redirect and mirror while playing with excellent eyes/awareness. He will occasionally get overaggressive, duck his head and put himself in a tough spot, but heâs athletic enough to recover. In the run game, he locks on with strong hands, rolls his hips and uproots defenders. He is quick to the second level and adjusts well in space. He is a bulldog, collecting one knockdown after another to finish plays. Frazier was a four-time state wrestling champion in high school and he carries that tenacity over to the football field. He will be a Day 1 starter and tempo setter for the team that drafts him."
Braden Fiske,DT,Florida State,"Fiske is an explosive, versatile defensive lineman. He aligns up and down the defensive front and heâs very disruptive in every game Iâve studied. As a pass rusher, he has a quick first step and he jolts blockers with his powerful hands. He doesnât have long arms, but he still keeps blockers away from his chest. He flashes the ability to bull rush, but most of his wins come by working through the edges of opponents and not through their chest. In the run game, he has the balance/strength to hold up against double teams and the quickness to shoot gaps for negative plays. I love his effort/tenacity. Overall, Fiske is a competitive, athletic and impactful defensive lineman capable of starting right away."
Darius Robinson,Edge,Missouri,"Robinson is a big, long and versatile defensive lineman. He lined up all over the Tigersâ defensive front. As a pass rusher, he wins on the edge primarily with a violent push/pull move. He will flash some other means to get home, including a club/rip maneuver or a pop/separate/close move. He doesnât have a dynamic first step, but his raw power showed up in every game I studied. As an inside rusher, he loves to use a swooping arm-over move, but he needs to improve his pad level. He plays too high at times and gets stuck. Against the run, he dominates. He sets a physical edge and can shed blockers to get in on tackles. His evaluation is similar to Arik Armstead's coming out of college. He can do a lot of things well, and teams will have different visions for how to best use his abilities."
Ricky Pearsall,WR,Florida,"Pearsall is a loose, smooth wideout with outstanding hands and toughness. He is quick in his release and he understands how to change gears as a route runner. He is fluid getting into and out of breaks. He has outstanding hands. He attacks the ball at the highest point and makes some circus catches (SEE: one-handed gem vs. Charlotte). After the catch, he is quick to transition up the field and has the elusiveness to make defenders miss in space. He has a lean frame, but he plays with excellent toughness and competitiveness. Pearsall followed up an excellent 2023 season with a solid week at the Senior Bowl and should have a starting role from Day 1 for his drafting team."
Payton Wilson,LB,N.C. State,"Wilson is a height/weight/speed linebacker with excellent instincts and playmaking ability. He has the tools to play stacked in the box or as the hole defender in space. Against the pass, he is fluid in his zone drops. He relies on his eyes to jump routes and get his hands on the ball. He has the speed/agility to mirror backs and tight ends. To see his ball skills and playmaking ability, check out his pick-six against Clemson. Against the run, he uses his length to stack and shed blocks. His hands are strong and violent. He is quick to key, read and flow to the ball. He is a firm chest-up tackler with a high batting average. The major concern with Wilson is durability. Heâs suffered a multitude of injuries during his career, but heâs always managed to come back and play at a high level."
Keon Coleman,WR,Florida State,"A big, physical wideout with average play speed, Coleman has the versatility to play inside and outside. He is a smooth and fluid route runner with some nuance to his game. He understands how to use his body to keep defenders on his back and attack the ball in front of his frame. He doesn't have ideal vertical speed, but he can play above the rim and make contested catches. He also might have the best highlight reel in this draft class, with one-handed wow catches littered throughout his tape. After the catch, he is competitive to fight for extra yards and will occasionally hurdle defenders. He's an excellent athlete. Overall, Coleman lacks ideal speed to separate, but he makes a lot of big plays in crowded environments and should be a red-zone menace at the next level."
Junior Colson,LB,Michigan,"Colson is a big, physical linebacker with excellent instincts. Against the pass, he has a knack for diagnosing routes and positioning himself properly. He has enough speed/agility to mirror tight ends underneath and down the seam. He closes to the flat in a hurry and takes excellent angles. He also shows timing and a burst as a blitzer. All that said, he is at his best against the run. He is quick to key and fill. He attacks lead blockers, thuds off and makes tackles. He is a very physical, chest-up tackler. He would've posted more impressive numbers this past season if Michigan had played in more close games. (The Wolverines rolled through a lot of players on that side of the ball, especially early in their national championship campaign.) Overall, Colson's speed-physicality combination will fit any defense."
Malachi Corley,WR,Western Kentucky,"Corley is a compact, physical slot receiver with outstanding run-after-the-catch ability. He lives on quick hitters, with an average depth of target of 6.1 yards in 2023 (according to Pro Football Focus). When he's not running screens or quick hitters, he is very explosive working down the seam. He wasn't asked to run a lot of traditional routes in the system at Western Kentucky, but I don't see any physical limitations or stiffness that would preclude him from developing a more diverse route repertoire. He has some drops on tape, but he can offset a few of those with special catches outside his frame. After the catch, he runs through tackles, makes defenders miss and has legit top-end speed. Overall, Corley can have an immediate role as a starting slot receiver next fall."
Marshawn Kneeland,Edge,Western Michigan,"Kneeland is a rugged, powerful edge defender. Against the pass, he relies almost solely on his ability to generate force and power through blocks. He doesnât have an elite get-off, but heâs quick to shoot his hands inside and he has the lower-body strength to walk offensive tackles right back to the quarterback. He flashes the feel to win inside when OTs overset. He will also occasionally spin when he catches opponents off balance. Against the run, he manhandles tight ends on the front side and plays with effort to chase from the back side. He is quick to adjust pass to run, redirect and make tackles. Overall, Kneeland isnât a special athlete, but he reminds me of a Baltimore Ravens-type player. Heâs tough, physical and plays with max effort."
Max Melton,CB,Rutgers,"Melton offers an exciting mix of size, speed and toughness. He can align outside or in the slot. He has quick feet and heâs fluid to open up and mirror. The former Scarlet Knight has plenty of top speed to carry vertical routes, though he does get a little grabby down the field. Heâs had consistent ball production throughout his career (eight INTs, 22 pass breakups over the last three seasons). I love his feistiness and toughness against the run, and heâs a reliable tackler. Overall, Melton has the ideal tools to step in and start right away outside or at the nickel position."
Jordan Morgan,OT,Arizona,"Morgan is a very athletic left tackle with average size. In pass pro, he is quick out of his stance to meet and cover up speed rushers. He can sink his weight and drop levels when bull rushed. He also does a nice job re-working his hands when he gets knocked back to regain leverage. He struggles to redirect inside when facing counter moves, getting beat on that inside shoulder too often. He also will occasionally duck his head, which is correctable. In the run game, he is more finesse than power. He can use his quickness to cut off the back side and he takes excellent angles to the second level to wall off linebackers. He doesn't have a lot of knock-back power to displace defenders over his nose. Morgan is just over a year removed from ACL surgery, and I'm hopeful he can add more strength/power now that he's healthy. Overall, he has starting tackle ability."
Kris Jenkins,DT,Michigan,"Jenkins is a muscled-up, powerful DT. Heâs at his best against the run. He shoots out of his four-point stance and jolts blockers. He easily holds the point of attack and has lateral range. He is more of a stack/hold player than a penetrator. As a pass rusher, he relies almost exclusively on power. Heâll need to develop a better plan in that area at the next level. Overall, Jenkins will be an immediate asset against the run while providing some upside as a rusher."
Xavier Legette,WR,South Carolina,"Legette is a thick, muscled-up receiver with impressive top speed and toughness. He relies on physicality more than quickness to power through press coverage. He isnât a polished route runner, but he can build speed and win 50/50 balls. He has reliable hands, and he has a nice blend of speed and toughness after the catch. He plays much faster with the ball in his hands. Overall, Legette doesnât offer a full complement of routes, but he can do damage with his select few."
Mike Sainristil,CB,Michigan,"Sainristil is a former wideout turned nickel cornerback. He lacks ideal size, but he plays big and heâs been a ball magnet for the Wolverines. He has very quick feet, stays in phase and is adept at locating and playing the ball. He doesnât have elite long speed, but he was rarely put in compromising positions in his role/system. Heâs an incredibly physical and reliable tackler in space. He also displays timing and feel as a blitzer. His production is exceptional and heâs been praised for his leadership. Overall, the sum is better than the parts, and itâs easy to be excited about the entire package of player/person."
